DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,MT,2015,1377,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,MT,2016,1437,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,MT,2017,1497,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,MT,2018,1346,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,MT,2019,1342,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,MT,2020,1004,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,MT,2021,0,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NL,2013,9522,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NL,2014,13358,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NL,2015,18523,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NL,2016,18749,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NL,2017,18706,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NL,2018,19270,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NL,2019,19046,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NL,2020,17043,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NL,2021,18449,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NO,2013,5241,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NO,2014,4972,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NO,2015,4563,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NO,2016,4195,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NO,2017,4086,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NO,2018,3895,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NO,2019,3580,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NO,2020,3502,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,NO,2021,3620,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PL,2013,35847,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PL,2014,34970,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PL,2015,32967,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PL,2016,33664,
